Date,WETH-USD
2024-03-30,3507.891357421875
2024-03-31,3641.189453125
2024-04-01,3507.168212890625
2024-04-02,3280.7724609375
2024-04-03,3317.462890625
2024-04-04,3327.530517578125
2024-04-05,3323.721923828125
2024-04-06,3363.74755859375
2024-04-07,3435.193359375
2024-04-08,3696.21142578125
2024-04-09,3503.931396484375
2024-04-10,3541.4921875
2024-04-11,3505.66357421875
2024-04-12,3231.419677734375
2024-04-13,3028.027099609375
2024-04-14,3159.76708984375
2024-04-15,3104.48486328125
2024-04-16,3089.00439453125
2024-04-17,2989.923828125
2024-04-18,3068.36083984375
2024-04-19,3069.871826171875
2024-04-20,3154.42626953125
2024-04-21,3150.307861328125
2024-04-22,3203.02197265625
2024-04-23,3216.078857421875
2024-04-24,3133.648681640625
2024-04-25,3160.777587890625
