Date,MNT27075-USD
2024-03-19,0.7925209999084473
2024-03-20,0.8446339964866638
2024-03-21,0.8317639827728271
2024-03-22,0.7876610159873962
2024-03-23,0.8058680295944214
2024-03-24,0.8404830098152161
2024-03-25,0.8588560223579407
2024-03-26,0.9340519905090332
2024-03-27,1.254992961883545
2024-03-28,1.2130780220031738
2024-03-29,1.181758999824524
2024-03-30,1.2585480213165283
2024-03-31,1.316545009613037
2024-04-01,1.2575039863586426
2024-04-02,1.2666070461273193
2024-04-03,1.2384949922561646
2024-04-04,1.40841805934906
2024-04-05,1.3656150102615356
2024-04-06,1.3414570093154907
2024-04-07,1.413100004196167
2024-04-08,1.438040018081665
2024-04-09,1.362615942955017
2024-04-10,1.3300950527191162
2024-04-11,1.2722140550613403
2024-04-12,1.1601810455322266
