Date,LEO-USD
2024-01-12,4.043649196624756
2024-01-13,4.05170202255249
2024-01-14,4.053048133850098
2024-01-15,3.9909799098968506
2024-01-16,3.9876999855041504
2024-01-17,3.993048906326294
2024-01-18,4.003529071807861
2024-01-19,3.972321033477783
2024-01-20,4.002406120300293
2024-01-21,3.989690065383911
2024-01-22,3.9900550842285156
2024-01-23,4.001646995544434
2024-01-24,4.060026168823242
2024-01-25,4.07562780380249
2024-01-26,4.044443130493164
2024-01-27,4.012842178344727
2024-01-28,4.015732765197754
2024-01-29,3.9841229915618896
2024-01-30,3.8682239055633545
2024-01-31,3.9569880962371826
2024-02-01,3.9905428886413574
2024-02-02,4.015247821807861
2024-02-03,4.010505199432373
2024-02-04,4.010682106018066
2024-02-05,4.060276031494141
2024-02-06,4.056146144866943
2024-02-07,4.05079984664917
2024-02-08,4.0747480392456055
2024-02-09,4.0790300369262695
2024-02-10,4.145177841186523
2024-02-11,4.110307216644287
2024-02-12,4.150815010070801
2024-02-13,4.14982795715332
2024-02-14,4.151826858520508
2024-02-15,4.176232814788818
2024-02-16,4.093221187591553
2024-02-17,4.142324924468994
2024-02-18,4.134267807006836
2024-02-19,4.113778114318848
2024-02-20,4.2731428146362305
2024-02-21,4.110675811767578
2024-02-22,4.149618148803711
2024-02-23,4.125218868255615
2024-02-24,4.214317798614502
2024-02-25,4.245250225067139
2024-02-26,4.3433661460876465
2024-02-27,4.371693134307861
2024-02-28,4.248297214508057
2024-02-29,4.7577338218688965
2024-03-01,4.746003150939941
2024-03-02,4.769902229309082
2024-03-03,4.770880222320557
2024-03-04,4.875618934631348
2024-03-05,5.353331089019775
2024-03-06,5.4823431968688965
2024-03-07,5.477116107940674
2024-03-08,5.8034539222717285
2024-03-09,5.627010822296143
2024-03-10,5.673876762390137
2024-03-11,5.844484806060791
2024-03-12,5.8997979164123535
2024-03-13,5.9412760734558105
2024-03-14,5.999156951904297
2024-03-15,6.058913230895996
2024-03-16,6.073085784912109
2024-03-17,6.130970001220703
2024-03-18,6.164196014404297
2024-03-19,6.150207996368408
2024-03-20,6.168458938598633
2024-03-21,6.07822322845459
2024-03-22,6.0348591804504395
2024-03-23,6.030868053436279
2024-03-24,6.069461822509766
2024-03-25,6.079522132873535
