Date,BTCB-USD
2024-07-15,64762.8125
2024-07-16,65137.70703125
2024-07-17,64265.15234375
2024-07-18,63929.69140625
2024-07-19,66847.4375
2024-07-20,67127.1953125
2024-07-21,68100.15625
2024-07-22,67517.0546875
2024-07-23,65889.4296875
2024-07-24,65371.12890625
2024-07-25,65737.7734375
2024-07-26,67956.3046875
2024-07-27,68011.6875
2024-07-28,68132.140625
2024-07-29,66786.546875
2024-07-30,66223.4765625
2024-07-31,64775.9921875
2024-08-01,65262.3515625
2024-08-02,61520.94140625
2024-08-03,60658.0546875
2024-08-04,58169.38671875
2024-08-05,54094.9765625
2024-08-06,56076.94921875
2024-08-07,55097.96484375
2024-08-08,61843.87890625
2024-08-09,60738.2421875
2024-08-10,60967.1171875
2024-08-11,58786.84375
2024-08-12,59457.72265625
2024-08-13,60567.234375
2024-08-14,58866.66796875
2024-08-15,57590.23828125
2024-08-16,58993.890625
2024-08-17,59388.6328125
2024-08-18,58607.96484375
2024-08-19,59421.234375
2024-08-20,59127.15625
2024-08-21,61129.89453125
2024-08-22,60372.76171875
2024-08-23,64087.375
2024-08-24,63986.31640625
2024-08-25,64439.1484375
2024-08-26,63057.01171875
2024-08-27,59614.23828125
2024-08-28,59130.6796875
2024-08-29,59327.1328125
2024-08-30,59153.375
2024-08-31,58982.4375
2024-09-01,57390.17578125
2024-09-02,59171.35546875
2024-09-03,57661.296875
2024-09-04,57950.078125
2024-09-05,56138.4765625
2024-09-06,53841.17578125
2024-09-07,54078.00390625
2024-09-08,54805.55859375
2024-09-09,57156.828125
2024-09-10,57641.4921875
2024-09-11,57402.7109375
2024-09-12,58139.96875
2024-09-13,60521.43359375
2024-09-14,60020.875
2024-09-15,59130.6484375
2024-09-16,58082.5
2024-09-17,60182.625
2024-09-18,61491.18359375
2024-09-19,62978.77734375
2024-09-20,63152.98828125
2024-09-21,63375.33984375
2024-09-22,63589.1875
2024-09-23,63281.55859375
2024-09-24,64417.46875
2024-09-25,63110.37890625
2024-09-26,65078.12109375
2024-09-27,65811.46875
2024-09-28,65768.125
2024-09-29,65676.0546875
2024-09-30,63219.62109375
2024-10-01,60884.20703125
2024-10-02,60658.27734375
2024-10-03,60775.484375
2024-10-04,62121.0390625
2024-10-05,62048.04296875
2024-10-06,62825.57421875
2024-10-07,62364.5390625
2024-10-08,62170.2265625
2024-10-09,60680.12890625
2024-10-10,60202.8359375
2024-10-11,62491.46484375
2024-10-12,63135.62109375
2024-10-13,62820.87890625
2024-10-14,66138.140625
2024-10-15,66835.1484375
2024-10-16,67660.390625
2024-10-17,67310.2421875
2024-10-18,68428.265625
2024-10-19,68352.1953125
2024-10-20,69062.828125
2024-10-21,67548.3125
2024-10-22,67434.65625
2024-10-23,66443.609375
2024-10-24,68232.234375
2024-10-25,66413.328125
2024-10-26,67043.0234375
2024-10-27,67975.96875
2024-10-28,69839.6953125
2024-10-29,72643.25
2024-10-30,72397.015625
2024-10-31,70260.578125
2024-11-01,69402.7421875
2024-11-02,69329.6015625
2024-11-03,68761.71875
2024-11-04,67839.3828125
2024-11-05,69536.5859375
2024-11-06,75645.4765625
2024-11-07,75931.4453125
2024-11-08,76519.1484375
2024-11-09,76763.53125
2024-11-10,80416.5078125
2024-11-11,88741.4375
2024-11-12,88007.1015625
2024-11-13,90378.2578125
2024-11-14,87196.6484375
2024-11-15,91359.0546875
2024-11-16,90461.4375
2024-11-17,89654.4765625
2024-11-18,90567.7265625
2024-11-19,92231.7421875
2024-11-20,94169.7421875
2024-11-21,98519.578125
2024-11-22,98961.46875
2024-11-23,97707.7734375
2024-11-24,97898.8515625
2024-11-25,93171.5234375
2024-11-26,91860.421875
2024-11-27,95999.359375
2024-11-28,95676.6171875
2024-11-29,97423.21875
2024-11-30,96466.21875
2024-12-01,97455.96875
2024-12-02,95819.1328125
2024-12-03,96026.9765625
2024-12-04,98877.9765625
2024-12-05,96528.0
2024-12-06,99946.4921875
2024-12-07,99910.453125
2024-12-08,101182.4765625
2024-12-09,97478.0078125
2024-12-10,96767.75
2024-12-11,101306.4296875
2024-12-12,100115.3046875
2024-12-13,101378.90625
2024-12-14,101354.046875
2024-12-15,104655.8515625
2024-12-16,105893.703125
2024-12-17,106106.3125
2024-12-18,100436.765625
2024-12-19,97743.9453125
2024-12-20,97544.8203125
2024-12-21,97138.2734375
2024-12-22,95191.2578125
2024-12-23,94904.078125
2024-12-24,98659.78125
2024-12-25,99283.171875
2024-12-26,95594.546875
2024-12-27,94293.59375
2024-12-28,95096.2890625
2024-12-29,93443.5
2024-12-30,92591.1640625
2024-12-31,93406.09375
2025-01-01,94543.015625
2025-01-02,96913.265625
2025-01-03,98238.6171875
2025-01-04,98318.6796875
2025-01-05,98421.5234375
2025-01-06,102094.734375
2025-01-07,96907.1484375
2025-01-08,95034.3046875
2025-01-09,92366.953125
2025-01-10,94770.953125
2025-01-11,94545.5
2025-01-12,94247.7109375
2025-01-13,94413.1328125
2025-01-14,96596.5703125
2025-01-15,100105.6796875
2025-01-16,99952.7421875
2025-01-17,104307.0078125
2025-01-18,104401.703125
2025-01-19,101289.7890625
2025-01-20,102044.390625
2025-01-21,106025.7265625
2025-01-22,103797.5078125
2025-01-23,104145.0546875
2025-01-24,104701.4375
2025-01-25,104854.3046875
2025-01-26,102706.265625
2025-01-27,101905.2109375
2025-01-28,101113.90625
2025-01-29,103735.4921875
2025-01-30,105042.4296875
2025-01-31,102203.7421875
2025-02-01,100648.90625
2025-02-02,97583.9921875
2025-02-03,101580.046875
2025-02-04,97994.2421875
2025-02-05,96607.7578125
2025-02-06,96498.703125
2025-02-07,96481.1953125
2025-02-08,96577.703125
2025-02-09,96267.9921875
2025-02-10,97364.0078125
2025-02-11,95816.078125
2025-02-12,97766.4765625
2025-02-13,96537.0546875
2025-02-14,97408.3671875
2025-02-15,97624.2890625
2025-02-16,96156.1640625
2025-02-17,95948.65625
2025-02-18,95389.5234375
2025-02-19,96517.578125
2025-02-20,98314.7109375
2025-02-21,95858.0859375
2025-02-22,96576.96875
2025-02-23,96169.7265625
2025-02-24,91595.7109375
2025-02-25,88664.8125
2025-02-26,83933.4609375
2025-02-27,84649.40625
2025-02-28,84280.921875
2025-03-01,85923.8046875
2025-03-02,94231.3203125
2025-03-03,86175.7421875
2025-03-04,87338.796875
2025-03-05,90665.71875
2025-03-06,90143.09375
2025-03-07,86441.1484375
2025-03-08,86121.71875
2025-03-09,80614.8125
2025-03-10,78919.3046875
2025-03-11,82727.3828125
2025-03-12,83689.78125
2025-03-13,81219.9140625
2025-03-14,84119.7890625
2025-03-15,84377.90625
2025-03-16,82489.3671875
2025-03-17,84041.625
2025-03-18,82673.65625
2025-03-19,86800.0390625
2025-03-20,84189.3203125
2025-03-21,84143.0078125
2025-03-22,83833.734375
2025-03-23,85868.3359375
2025-03-24,87386.0234375
2025-03-25,87484.21875
2025-03-26,86891.390625
2025-03-27,87217.5234375
2025-03-28,84346.515625
2025-03-29,82504.984375
2025-03-30,82298.046875
2025-03-31,82465.953125
2025-04-01,85227.5859375
2025-04-02,82634.5859375
2025-04-03,83042.4140625
2025-04-04,83932.21875
2025-04-05,83407.7421875
2025-04-06,78174.421875
2025-04-07,79282.28125
2025-04-08,76366.203125
2025-04-09,82642.53125
2025-04-10,79604.1171875
2025-04-11,83324.0859375
2025-04-12,85352.0
2025-04-13,83579.3359375
2025-04-14,84576.9375
2025-04-15,83725.03125
2025-04-16,84163.3984375
2025-04-17,84918.3203125
2025-04-18,84435.609375
2025-04-19,85136.1484375
2025-04-20,85079.765625
2025-04-21,87412.8125
2025-04-22,93524.6171875
2025-04-23,93680.578125
2025-04-24,93802.4921875
2025-04-25,94756.2890625
2025-04-26,94678.953125
2025-04-27,93840.578125
2025-04-28,95028.4921875
2025-04-29,94272.6171875
2025-04-30,94234.3046875
2025-05-01,96472.578125
2025-05-02,96846.171875
2025-05-03,95955.890625
2025-05-04,94364.234375
2025-05-05,94829.9609375
2025-05-06,96779.4453125
2025-05-07,97017.203125
2025-05-08,103181.953125
2025-05-09,102949.1953125
2025-05-10,104570.9453125
2025-05-11,104085.03125
2025-05-12,102833.03125
2025-05-13,104147.5
2025-05-14,103533.875
2025-05-15,103687.609375
2025-05-16,103543.6796875
2025-05-17,103141.03125
2025-05-18,106263.4375
2025-05-19,105593.8203125
2025-05-20,106834.6875
2025-05-21,109657.3671875
2025-05-22,111382.9375
2025-05-23,107174.6875
2025-05-24,107777.75
2025-05-25,109004.3515625
2025-05-26,109436.75
2025-05-27,109020.09375
2025-05-28,107761.5703125
2025-05-29,105698.8359375
2025-05-30,104020.3828125
2025-05-31,104666.8125
2025-06-01,105698.9140625
2025-06-02,105831.7734375
2025-06-03,105520.6484375
2025-06-04,104769.5703125
2025-06-05,101644.7890625
2025-06-06,104402.0703125
2025-06-07,105738.109375
2025-06-08,105802.953125
2025-06-09,110256.734375
2025-06-10,109975.703125
2025-06-11,108613.109375
2025-06-12,106030.765625
2025-06-13,105997.8984375
2025-06-14,105446.3828125
2025-06-15,105286.4296875
2025-06-16,106992.5234375
2025-06-17,104610.4609375
2025-06-18,104876.921875
2025-06-19,104708.796875
2025-06-20,103310.4453125
2025-06-21,101821.421875
2025-06-22,100917.8828125
2025-06-23,105476.6875
2025-06-24,105952.9921875
2025-06-25,107278.609375
2025-06-26,106969.0390625
2025-06-27,107096.171875
2025-06-28,107355.0
2025-06-29,108329.875
2025-06-30,107274.8671875
2025-07-01,105639.0078125
2025-07-02,109054.296875
2025-07-03,109711.8359375
2025-07-04,108034.453125
2025-07-05,108153.1953125
2025-07-06,109202.8671875
2025-07-07,108112.0234375
2025-07-08,108923.015625
2025-07-09,111362.5859375
2025-07-10,115847.1015625
2025-07-11,117533.6875
2025-07-12,117345.125
2025-07-13,118829.9375
2025-07-14,120003.921875
2025-07-15,117755.9296875
2025-07-16,118764.8203125
2025-07-17,119489.0390625
2025-07-18,117887.921875
2025-07-19,117901.953125
2025-07-20,117337.8046875
2025-07-21,117406.390625
2025-07-22,119989.1875
2025-07-23,118646.8359375
2025-07-24,118360.046875
2025-07-25,117378.25
2025-07-26,118012.9921875
2025-07-27,119438.6640625
2025-07-28,117990.9140625
2025-07-29,117866.15625
2025-07-30,117736.15625
2025-07-31,115822.984375
2025-08-01,113231.7578125
2025-08-02,112555.671875
2025-08-03,114301.2421875
2025-08-04,115160.7578125
2025-08-05,114087.796875
2025-08-06,115115.9140625
2025-08-07,117459.265625
2025-08-08,116750.1015625
2025-08-09,116550.2578125
2025-08-10,119118.40625
2025-08-11,118671.7734375
2025-08-12,120137.140625
2025-08-13,123341.0546875
2025-08-14,118499.1328125
2025-08-15,117405.8515625
2025-08-16,117529.390625
2025-08-17,117683.84375
2025-08-18,116351.21875
2025-08-19,112904.1640625
2025-08-20,114260.7421875
2025-08-21,112352.4375
2025-08-22,116821.328125
