Date,USDC-USD
2024-03-20,1.0001749992370605
2024-03-21,1.000108003616333
2024-03-22,1.0000499486923218
2024-03-23,1.0001980066299438
2024-03-24,1.000148057937622
2024-03-25,0.9999150037765503
2024-03-26,1.0000569820404053
2024-03-27,1.0000779628753662
2024-03-28,1.0000269412994385
2024-03-29,0.9998800158500671
2024-03-30,0.9999579787254333
2024-03-31,0.9999979734420776
2024-04-01,1.000048041343689
2024-04-02,0.9999960064888
2024-04-03,0.9999979734420776
2024-04-04,1.000040054321289
2024-04-05,0.9998549818992615
2024-04-06,1.0000560283660889
2024-04-07,0.9999210238456726
2024-04-08,1.0002100467681885
2024-04-09,0.9999930262565613
2024-04-10,1.0001640319824219
2024-04-11,1.0003139972686768
2024-04-12,0.9999619722366333
2024-04-13,0.9999399781227112
2024-04-14,1.0002909898757935
