Date,TON11419-USD
2024-03-22,4.441192150115967
2024-03-23,4.81987190246582
2024-03-24,4.96733283996582
2024-03-25,5.365848064422607
2024-03-26,5.038404941558838
2024-03-27,4.964436054229736
2024-03-28,4.9027791023254395
2024-03-29,5.0209221839904785
2024-03-30,5.25728178024292
2024-03-31,5.414872169494629
2024-04-01,5.343327045440674
2024-04-02,4.85409688949585
2024-04-03,4.962906837463379
2024-04-04,5.091455936431885
2024-04-05,5.339620113372803
2024-04-06,5.479194164276123
2024-04-07,5.370071887969971
2024-04-08,6.342555046081543
2024-04-09,6.693782806396484
2024-04-10,6.7722978591918945
2024-04-11,7.252108097076416
2024-04-12,6.652337074279785
2024-04-13,5.948645114898682
2024-04-14,6.762487888336182
2024-04-15,6.559871196746826
2024-04-16,6.341846942901611
2024-04-17,6.084099769592285
