Date,BGB-USD
2024-03-19,0.8562080264091492
2024-03-20,0.918690025806427
2024-03-21,0.9294289946556091
2024-03-22,0.9188290238380432
2024-03-23,0.8926529884338379
2024-03-24,0.9350889921188354
2024-03-25,0.9386810064315796
2024-03-26,0.9546729922294617
2024-03-27,0.963487982749939
2024-03-28,1.0320899486541748
2024-03-29,1.002213954925537
2024-03-30,1.0293099880218506
2024-03-31,1.0472279787063599
2024-04-01,1.0818530321121216
2024-04-02,1.1801179647445679
2024-04-03,1.3576359748840332
2024-04-04,1.2804280519485474
2024-04-05,1.2404340505599976
2024-04-06,1.2883820533752441
2024-04-07,1.3087719678878784
2024-04-08,1.3380210399627686
2024-04-09,1.281730055809021
2024-04-10,1.2578439712524414
2024-04-11,1.3353819847106934
2024-04-12,1.2191699743270874
