Date,WBETH-USD
2024-03-30,3627.737060546875
2024-03-31,3771.96337890625
2024-04-01,3623.0966796875
2024-04-02,3388.35791015625
2024-04-03,3425.27783203125
2024-04-04,3449.984130859375
2024-04-05,3431.918212890625
2024-04-06,3469.81494140625
2024-04-07,3572.4091796875
2024-04-08,3818.306640625
2024-04-09,3626.5947265625
2024-04-10,3664.351806640625
2024-04-11,3627.66845703125
2024-04-12,3352.35498046875
2024-04-13,3110.19580078125
2024-04-14,3260.391845703125
2024-04-15,3210.148681640625
2024-04-16,3190.80029296875
2024-04-17,3089.68896484375
2024-04-18,3174.124267578125
2024-04-19,3167.734619140625
2024-04-20,3271.083251953125
2024-04-21,3262.896240234375
2024-04-22,3317.0390625
2024-04-23,3337.8212890625
2024-04-24,3254.19873046875
2024-04-25,3270.22119140625
