Date,UNI7083-USD
2024-03-28,12.768259048461914
2024-03-29,12.658278465270996
2024-03-30,12.616868019104004
2024-03-31,12.96078109741211
2024-04-01,12.43184757232666
2024-04-02,11.308534622192383
2024-04-03,10.880270957946777
2024-04-04,10.977246284484863
2024-04-05,10.92966365814209
2024-04-06,11.249993324279785
2024-04-07,11.395590782165527
2024-04-08,11.629570007324219
2024-04-09,11.225678443908691
2024-04-10,10.02928352355957
2024-04-11,9.1688814163208
2024-04-12,7.939519882202148
2024-04-13,6.927135944366455
2024-04-14,7.519946098327637
2024-04-15,7.250547885894775
2024-04-16,7.190340042114258
2024-04-17,6.881411075592041
2024-04-18,7.295999050140381
2024-04-19,7.509613990783691
2024-04-20,7.8741559982299805
2024-04-21,7.7239460945129395
2024-04-22,8.213176727294922
2024-04-23,7.955467224121094
