Date,WSTETH-USD
2024-03-30,4063.94189453125
2024-03-31,4210.57861328125
2024-04-01,4063.40673828125
2024-04-02,3806.5537109375
2024-04-03,3846.466552734375
2024-04-04,3856.53466796875
2024-04-05,3856.486572265625
2024-04-06,3897.355712890625
2024-04-07,3969.8271484375
2024-04-08,4287.15576171875
2024-04-09,4068.378662109375
2024-04-10,4099.22314453125
2024-04-11,4072.497802734375
2024-04-12,3747.402099609375
2024-04-13,3509.793701171875
2024-04-14,3665.946044921875
2024-04-15,3605.697021484375
2024-04-16,3584.171630859375
2024-04-17,3477.0546875
2024-04-18,3562.7763671875
2024-04-19,3553.547607421875
2024-04-20,3666.546875
2024-04-21,3662.97607421875
2024-04-22,3723.74462890625
2024-04-23,3737.920166015625
2024-04-24,3646.669677734375
2024-04-25,3675.96044921875
