Date,OKB-USD
2024-03-30,63.1559944152832
2024-03-31,63.53139877319336
2024-04-01,61.42560958862305
2024-04-02,57.12601089477539
2024-04-03,56.02505111694336
2024-04-04,55.91141891479492
2024-04-05,56.36124038696289
2024-04-06,57.72294616699219
2024-04-07,58.09545135498047
2024-04-08,59.46583557128906
2024-04-09,56.93776321411133
2024-04-10,57.54545593261719
2024-04-11,56.68696594238281
2024-04-12,53.32674789428711
2024-04-13,51.64686965942383
2024-04-14,53.43250274658203
2024-04-15,57.60784912109375
2024-04-16,57.29617691040039
2024-04-17,54.86234664916992
2024-04-18,55.333736419677734
2024-04-19,55.047142028808594
2024-04-20,55.97922134399414
2024-04-21,54.9542236328125
2024-04-22,55.17545700073242
2024-04-23,55.31782150268555
2024-04-24,54.403385162353516
2024-04-25,53.12351608276367
