Date,HBAR-USD
2024-03-18,0.11187300086021423
2024-03-19,0.1013059988617897
2024-03-20,0.11138100177049637
2024-03-21,0.10998599976301193
2024-03-22,0.10640499740839005
2024-03-23,0.10661999881267548
2024-03-24,0.10986299812793732
2024-03-25,0.11714699864387512
2024-03-26,0.12032999843358994
2024-03-27,0.11373399943113327
2024-03-28,0.11619599908590317
2024-03-29,0.11609899997711182
2024-03-30,0.11361899971961975
2024-03-31,0.115727998316288
2024-04-01,0.10998699814081192
2024-04-02,0.10360199958086014
2024-04-03,0.10271699726581573
2024-04-04,0.10518600046634674
2024-04-05,0.10462299734354019
2024-04-06,0.10600700229406357
2024-04-07,0.10585799813270569
2024-04-08,0.10948999971151352
2024-04-09,0.10341499745845795
2024-04-10,0.10231699794530869
2024-04-11,0.09991499781608582
