Date,WBTC-USD
2024-08-18,58572.9453125
2024-08-19,59327.703125
2024-08-20,59087.8828125
2024-08-21,61080.703125
2024-08-22,60423.5703125
2024-08-23,63965.40234375
2024-08-24,63929.48828125
2024-08-25,64134.50390625
2024-08-26,62898.30078125
2024-08-27,59475.296875
2024-08-28,59026.0234375
2024-08-29,59299.70703125
2024-08-30,59092.46875
2024-08-31,58928.3359375
2024-09-01,57317.06640625
2024-09-02,59112.22265625
2024-09-03,57498.65625
2024-09-04,57930.46875
2024-09-05,56074.50390625
2024-09-06,53788.18359375
2024-09-07,54052.453125
2024-09-08,54776.55078125
2024-09-09,57085.328125
2024-09-10,57589.265625
2024-09-11,57333.50390625
2024-09-12,58092.4453125
2024-09-13,60429.59375
2024-09-14,59921.359375
2024-09-15,59114.296875
2024-09-16,58076.765625
2024-09-17,60148.67578125
2024-09-18,61350.9453125
2024-09-19,62843.9765625
2024-09-20,63079.796875
2024-09-21,63325.921875
2024-09-22,63493.01953125
2024-09-23,63196.84765625
2024-09-24,64186.21484375
2024-09-25,62998.87890625
2024-09-26,64940.3359375
2024-09-27,65680.203125
2024-09-28,65690.65625
2024-09-29,65585.875
2024-09-30,63193.12109375
2024-10-01,60798.35546875
2024-10-02,60582.37109375
2024-10-03,60699.68359375
2024-10-04,61997.7578125
2024-10-05,61959.5546875
2024-10-06,62617.00390625
2024-10-07,62287.73828125
2024-10-08,62069.96484375
2024-10-09,60579.75
2024-10-10,60121.3359375
2024-10-11,62409.66796875
2024-10-12,63135.32421875
2024-10-13,62759.09765625
2024-10-14,65926.7109375
2024-10-15,66803.2734375
2024-10-16,67531.625
2024-10-17,67182.2734375
2024-10-18,68258.796875
2024-10-19,68250.515625
2024-10-20,68938.625
2024-10-21,67416.8125
2024-10-22,67293.484375
2024-10-23,66280.25
2024-10-24,68017.578125
2024-10-25,66429.7265625
2024-10-26,66957.25
2024-10-27,67833.171875
2024-10-28,69770.4609375
2024-10-29,72529.25
2024-10-30,72281.1796875
2024-10-31,70263.78125
2024-11-01,69360.25
2024-11-02,69249.9609375
2024-11-03,68692.828125
2024-11-04,67704.453125
2024-11-05,69366.984375
2024-11-06,75595.71875
2024-11-07,75895.859375
2024-11-08,76471.2421875
2024-11-09,76610.0390625
2024-11-10,80327.40625
2024-11-11,88384.921875
2024-11-12,87882.5546875
2024-11-13,90137.40625
2024-11-14,87007.625
2024-11-15,91058.8125
2024-11-16,90359.8828125
2024-11-17,89595.921875
2024-11-18,90519.8828125
2024-11-19,92124.703125
2024-11-20,93961.7421875
2024-11-21,98175.0703125
2024-11-22,98726.2109375
2024-11-23,97475.3828125
2024-11-24,97651.1015625
2024-11-25,93235.125
2024-11-26,91786.1171875
2024-11-27,95885.125
2024-11-28,95473.2890625
2024-11-29,97185.4453125
2024-11-30,96346.109375
2024-12-01,97156.3984375
2024-12-02,95587.5234375
2024-12-03,95722.46875
2024-12-04,98453.921875
2024-12-05,96260.2109375
2024-12-06,99627.9140625
2024-12-07,99672.140625
2024-12-08,100630.28125
2024-12-09,97069.0078125
2024-12-10,96464.109375
2024-12-11,100947.1328125
2024-12-12,99798.390625
2024-12-13,100994.90625
2024-12-14,100871.171875
2024-12-15,103996.53125
2024-12-16,105594.265625
2024-12-17,105648.9375
2024-12-18,100110.4609375
2024-12-19,97529.6953125
2024-12-20,97310.6875
2024-12-21,96891.5234375
2024-12-22,94882.640625
2024-12-23,94612.7421875
2024-12-24,98346.1953125
2024-12-25,98848.46875
2024-12-26,95461.3046875
2024-12-27,94158.5625
2024-12-28,95001.3828125
2024-12-29,93448.6015625
2024-12-30,92495.4140625
2024-12-31,93309.375
2025-01-01,94277.4609375
2025-01-02,96619.8515625
2025-01-03,97984.4296875
2025-01-04,98133.6015625
2025-01-05,98197.09375
2025-01-06,101760.90625
2025-01-07,96714.6875
2025-01-08,94918.484375
2025-01-09,92335.4765625
2025-01-10,94569.84375
2025-01-11,94400.875
2025-01-12,94225.8671875
2025-01-13,94216.96875
2025-01-14,96336.125
2025-01-15,99887.40625
2025-01-16,99678.96875
2025-01-17,104036.0859375
2025-01-18,104108.28125
2025-01-19,101145.4375
2025-01-20,102175.125
2025-01-21,105859.0546875
2025-01-22,103704.6015625
2025-01-23,104070.5625
2025-01-24,104610.890625
2025-01-25,104627.3984375
2025-01-26,102623.28125
2025-01-27,101765.375
2025-01-28,100917.2578125
2025-01-29,103518.1640625
2025-01-30,104760.4375
2025-01-31,102263.8359375
2025-02-01,100628.40625
2025-02-02,97513.8671875
2025-02-03,101515.59375
2025-02-04,97842.828125
2025-02-05,96590.296875
2025-02-06,96537.78125
2025-02-07,96341.328125
2025-02-08,96413.0546875
2025-02-09,96177.4375
2025-02-10,97166.5234375
2025-02-11,95738.6484375
2025-02-12,97555.984375
2025-02-13,96485.453125
2025-02-14,97234.4765625
2025-02-15,97407.4921875
2025-02-16,96161.8984375
2025-02-17,95745.734375
2025-02-18,95244.8515625
2025-02-19,96423.1015625
2025-02-20,98147.765625
2025-02-21,95840.4140625
2025-02-22,96503.8203125
2025-02-23,96111.1328125
2025-02-24,91634.0625
2025-02-25,88609.4609375
2025-02-26,83899.34375
2025-02-27,84592.1640625
2025-02-28,84194.65625
2025-03-01,85785.2265625
2025-03-02,94060.1640625
2025-03-03,86057.9296875
2025-03-04,87111.09375
2025-03-05,90423.1015625
2025-03-06,89875.640625
2025-03-07,86526.6640625
2025-03-08,86044.2734375
2025-03-09,80556.6484375
2025-03-10,78761.3359375
2025-03-11,82580.984375
2025-03-12,83489.4765625
2025-03-13,80989.4453125
2025-03-14,83857.21875
2025-03-15,84177.2578125
2025-03-16,82370.6796875
2025-03-17,83885.2578125
2025-03-18,82580.9140625
2025-03-19,86595.1875
2025-03-20,84091.1015625
2025-03-21,83955.59375
2025-03-22,83741.625
2025-03-23,85577.1953125
2025-03-24,87306.15625
2025-03-25,87344.078125
2025-03-26,86753.65625
2025-03-27,87062.8203125
2025-03-28,84229.0625
2025-03-29,82467.3125
2025-03-30,82226.6015625
2025-03-31,82417.640625
2025-04-01,85070.4140625
2025-04-02,82526.7265625
2025-04-03,82905.5859375
2025-04-04,83772.578125
2025-04-05,83276.8671875
2025-04-06,78023.2890625
2025-04-07,79139.828125
2025-04-08,76296.3984375
2025-04-09,82544.375
2025-04-10,79590.625
2025-04-11,83372.2265625
2025-04-12,85282.546875
2025-04-13,83621.7421875
2025-04-14,84488.3125
2025-04-15,83665.8515625
2025-04-16,84121.1015625
2025-04-17,84869.6796875
2025-04-18,84424.3359375
2025-04-19,85087.6484375
2025-04-20,85047.6953125
2025-04-21,87352.8203125
2025-04-22,93403.1953125
2025-04-23,93579.8046875
2025-04-24,93687.84375
2025-04-25,94654.3984375
2025-04-26,94623.21875
2025-04-27,93795.8984375
2025-04-28,94961.4296875
2025-04-29,94222.1875
2025-04-30,94181.8515625
2025-05-01,96404.9296875
2025-05-02,96790.828125
2025-05-03,95977.3203125
2025-05-04,94347.765625
2025-05-05,94769.1640625
2025-05-06,96634.640625
2025-05-07,96980.8046875
2025-05-08,103070.546875
2025-05-09,102909.4375
2025-05-10,104595.96875
2025-05-11,103980.2890625
2025-05-12,102871.25
2025-05-13,104209.4296875
2025-05-14,103498.375
2025-05-15,103579.1328125
2025-05-16,103396.1953125
2025-05-17,103063.2890625
2025-05-18,106247.6875
2025-05-19,105483.328125
2025-05-20,106625.6796875
2025-05-21,109395.6640625
2025-05-22,111342.09375
2025-05-23,107076.0703125
2025-05-24,107706.640625
2025-05-25,108812.3671875
2025-05-26,109256.6875
2025-05-27,108932.453125
2025-05-28,107749.546875
2025-05-29,105598.640625
2025-05-30,103955.4765625
2025-05-31,104611.421875
2025-06-01,105528.90625
2025-06-02,105833.0390625
2025-06-03,105406.828125
2025-06-04,104735.4453125
2025-06-05,101596.6328125
2025-06-06,104302.4921875
2025-06-07,105618.9453125
2025-06-08,105654.4921875
2025-06-09,110164.265625
2025-06-10,110094.0078125
2025-06-11,108605.21875
2025-06-12,105912.8984375
2025-06-13,105942.6953125
2025-06-14,105405.703125
2025-06-15,105472.015625
2025-06-16,106803.0390625
2025-06-17,104534.609375
2025-06-18,104764.828125
2025-06-19,104655.1171875
2025-06-20,103229.78125
2025-06-21,101717.171875
2025-06-22,100790.5390625
2025-06-23,105414.59375
2025-06-24,105915.0390625
2025-06-25,107194.125
2025-06-26,106891.4375
2025-06-27,107000.2265625
2025-06-28,107262.921875
2025-06-29,108289.1171875
2025-06-30,107112.5859375
2025-07-01,105618.3828125
2025-07-02,108886.6015625
2025-07-03,109603.8359375
2025-07-04,108010.828125
2025-07-05,108125.5859375
2025-07-06,109089.7265625
2025-07-07,108174.390625
2025-07-08,108857.8125
2025-07-09,111177.53125
2025-07-10,115765.3828125
2025-07-11,117333.90625
2025-07-12,117216.796875
2025-07-13,118780.234375
2025-07-14,119692.4765625
2025-07-15,117622.5859375
2025-07-16,118546.8046875
2025-07-17,119339.5
2025-07-18,117815.8125
2025-07-19,117807.265625
2025-07-20,117263.3125
2025-07-21,117373.2734375
2025-07-22,119902.4453125
2025-07-23,118503.5546875
2025-07-24,118252.6484375
2025-07-25,117375.734375
2025-07-26,117890.7421875
2025-07-27,119346.0234375
2025-07-28,117816.59375
2025-07-29,117690.2265625
2025-07-30,117653.9453125
2025-07-31,115740.8828125
2025-08-01,113258.1171875
2025-08-02,112484.9453125
2025-08-03,114153.1328125
2025-08-04,115156.3125
2025-08-05,114097.8125
2025-08-06,115036.0234375
2025-08-07,117436.7890625
2025-08-08,116653.3515625
2025-08-09,116438.8984375
2025-08-10,118941.4609375
2025-08-11,118636.9453125
2025-08-12,119972.9296875
2025-08-13,123300.0703125
2025-08-14,118402.1953125
2025-08-15,117296.9453125
2025-08-16,117467.8203125
2025-08-17,117531.375
2025-08-18,116278.875
2025-08-19,112817.171875
2025-08-20,114293.3984375
2025-08-21,112406.953125
2025-08-22,116791.2265625
2025-08-23,115324.3203125
2025-08-24,113532.6875
2025-08-25,110204.8984375
2025-08-26,111929.4296875
2025-08-27,111301.4453125
2025-08-28,112515.5
2025-08-29,108688.609375
2025-08-30,108869.1015625
2025-08-31,108402.03125
2025-09-01,109138.9609375
2025-09-02,111164.9296875
2025-09-03,111763.8203125
2025-09-04,110672.8671875
2025-09-05,110706.1171875
2025-09-06,110193.9453125
2025-09-07,111205.3046875
2025-09-08,112059.5625
2025-09-09,111543.921875
2025-09-10,113861.1953125
2025-09-11,115358.8984375
2025-09-12,116106.9453125
2025-09-13,115915.4453125
2025-09-14,115374.296875
2025-09-15,115419.3515625
2025-09-16,116783.8359375
2025-09-17,116588.6875
2025-09-18,117136.6328125
2025-09-19,115624.9296875
2025-09-20,115778.890625
2025-09-21,115306.5
2025-09-22,112798.734375
2025-09-23,112042.453125
2025-09-24,113316.90625
2025-09-25,109151.6953125
2025-09-26,109381.5234375
