Date,CRO-USD
2024-03-18,0.13539600372314453
2024-03-19,0.12179899960756302
2024-03-20,0.14011099934577942
2024-03-21,0.13776199519634247
2024-03-22,0.13313299417495728
2024-03-23,0.1367579996585846
2024-03-24,0.14449800550937653
2024-03-25,0.1480329930782318
2024-03-26,0.14909300208091736
2024-03-27,0.1488189995288849
2024-03-28,0.15878300368785858
2024-03-29,0.15529300272464752
2024-03-30,0.15192300081253052
2024-03-31,0.15291300415992737
2024-04-01,0.1531970053911209
2024-04-02,0.14117400348186493
2024-04-03,0.14306999742984772
2024-04-04,0.14460399746894836
2024-04-05,0.1413930058479309
2024-04-06,0.14605200290679932
2024-04-07,0.14628799259662628
2024-04-08,0.15091300010681152
2024-04-09,0.14641399681568146
2024-04-10,0.1457509994506836
2024-04-11,0.1491519957780838
