Date,NEAR-USD
2024-03-23,6.623126983642578
2024-03-24,6.977639198303223
2024-03-25,7.458374977111816
2024-03-26,7.65586519241333
2024-03-27,7.259137153625488
2024-03-28,7.189585208892822
2024-03-29,6.973135948181152
2024-03-30,6.937624931335449
2024-03-31,7.3030829429626465
2024-04-01,6.742222785949707
2024-04-02,6.216184139251709
2024-04-03,6.609620094299316
2024-04-04,6.727497100830078
2024-04-05,7.227752208709717
2024-04-06,7.02336311340332
2024-04-07,6.916257858276367
2024-04-08,7.3644609451293945
2024-04-09,7.213878154754639
2024-04-10,6.987525939941406
2024-04-11,6.8025641441345215
2024-04-12,5.793785095214844
2024-04-13,5.234365940093994
2024-04-14,5.716465950012207
2024-04-15,5.223505973815918
2024-04-16,5.499640941619873
2024-04-17,5.409567832946777
2024-04-18,5.703774929046631
